s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
2.989203436906104230e+02,-3.113381521597489865e+01,-6.655897819629412027e+01,1.475256449701247696e+00,-1.195152892154007461e-02,1.203854863435237554e+01,2.393716847158988248e+00
2.991202904087980983e+02,-3.133282164480765175e+01,-6.653966820106320768e+01,1.472883282195512233e+00,-1.178710982390443994e-02,1.207824013991225875e+01,2.374521025186068446e+00
2.993202371269858304e+02,-3.153178668560016362e+01,-6.651988878475552269e+01,1.470542906022908713e+00,-1.162333865183580450e-02,1.211748489786122462e+01,2.355479139373768849e+00
2.995201838451735057e+02,-3.173071200007881032e+01,-6.649964632163735700e+01,1.468235103594274449e+00,-1.146019600836684950e-02,1.215628976691695051e+01,2.336589955269010144e+00
2.997201305633611810e+02,-3.192957883119735740e+01,-6.647894928613202126e+01,1.465959931502273772e+00,-1.129822644798748367e-02,1.219466145015360503e+01,2.317852248318279518e+00
2.999200772815489131e+02,-3.212840284611547048e+01,-6.645780258891815606e+01,1.463717064391252265e+00,-1.113684107758999668e-02,1.223260650002495353e+01,2.299264803787644862e+00
3.001200239997365884e+02,-3.232718683140160465e+01,-6.643621238180261912e+01,1.461506306352965634e+00,-1.097599188125695721e-02,1.227013132317566324e+01,2.280826416684919700e+00
3.003199707179243205e+02,-3.252591108428599398e+01,-6.641418728237019309e+01,1.459327740141292296e+00,-1.081608354214668756e-02,1.230724218505187118e+01,2.262535891680730771e+00
3.005199174361119958e+02,-3.272459116173669713e+01,-6.639173202922314942e+01,1.457181074602083903e+00,-1.065668992853155243e-02,1.234394521432136749e+01,2.244392043031347761e+00
3.007198641542996711e+02,-3.292323115060279548e+01,-6.636885253453243649e+01,1.455066131361086423e+00,-1.049774918871775389e-02,1.238024640711277158e+01,2.226393694502030396e+00
3.009198108724874032e+02,-3.312181086092972748e+01,-6.634555752785723826e+01,1.452983012198654666e+00,-1.033955116491323649e-02,1.241615163108309972e+01,2.208539679290404401e+00
3.011197575906750785e+02,-3.332034517683392494e+01,-6.632185166143827360e+01,1.450931462359731583e+00,-1.018179545088752566e-02,1.245166662932197710e+01,2.190828839951116436e+00
